"field1","itemvalue2","itemvalue3","itemvalue4","itemvalue5","itemvalue6","itemvalue7","itemvalue8","itemvalue9"
"2006","12291","35.1472690878","22679","64.8527309122","370881","51.8296423725","344696","48.1703576275"
"2007","12329","34.9739021899","22923","65.0260978101","366110","51.7627996675","341174","48.2372003325"
"2008","12199","34.6228075155","23035","65.3771924845","357757","51.6196940249","335306","48.3803059751"
"2009","12183","34.5274195834","23102","65.4725804166","349913","51.6527833749","327520","48.3472166251"
"2010","12449","34.0685804986","24092","65.9314195014","341729","51.668929605","319653","48.331070395"
"2011","12262","33.9132118262","23895","66.0867881738","334361","51.7254395396","312054","48.2745604604"
"2012","12077","29.1743163591","29319","70.8256836409","352241","51.7724335797","328123","48.2275664203"
"2013","12107","29.1432973064","29436","70.8567026936","342501","51.643852967","320697","48.356147033"
"2014","11986","29.0400736541","29288","70.9599263459","334293","51.5006840198","314811","48.4993159802"
"2015","11898","28.9615890171","29184","71.0384109829","329741","51.4348331345","311344","48.5651668655"
"2016","11622","28.7730243613","28770","71.2269756387","319743","51.2559793272","304073","48.7440206728"
"2017","11354","28.2937526477","28775","71.7062473523","311988","51.1740970377","297672","48.8259029623"
"2018","11329","27.9866600791","29151","72.0133399209","307842","51.1710555624","293752","48.8289444376"
"2019","11242","27.6760216642","29378","72.3239783358","303365","51.1039835047","290258","48.8960164953"
"2020","11122","27.2277712495","29726","72.7722287505","300840","51.0263273053","288738","48.9736726947"
"2021","11089","26.9359696852","30079","73.0640303148","298805","50.972782559","287400","49.027217441"
"2022","11027","26.6005693057","30427","73.3994306943","298053","50.9212023467","287269","49.0787976533"
